City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
0,kodiak,57.79,-152.4072,42.31,81,100,6.91,US,1683407187
1,carnarvon,-24.8667,113.6333,70.27,71,11,10.63,AU,1683407281
2,mirnyy,62.5353,113.9611,27.46,93,100,16.2,RU,1683407282
3,extrema,-22.8547,-46.3183,65.43,92,100,2.35,BR,1683407282
4,port-aux-francais,-49.35,70.2167,39.85,60,77,29.57,TF,1683407282
5,adamstown,-25.066,-130.1015,72.28,78,100,8.68,PN,1683407116
6,callao,-12.0667,-77.15,75.49,69,0,13.8,PE,1683407282
7,college,64.8569,-147.8028,51.75,41,75,11.5,US,1683407283
8,waitangi,-43.9535,-176.5597,59.83,93,100,5.01,NZ,1683407283
9,puerto natales,-51.7236,-72.4875,50.45,53,20,21.85,CL,1683407156
10,port douglas,-16.4833,145.4667,75.47,86,99,8.93,AU,1683407284
11,talnakh,69.4865,88.3972,-1.97,98,74,1.72,RU,1683407284
12,bafq,31.6128,55.4107,73.63,13,0,3.09,IR,1683407284
13,ust-nera,64.5667,143.2,26.98,80,96,4.68,RU,1683407284
14,haiku-pauwela,20.9219,-156.3051,78.82,64,40,21.85,US,1683407284
15,ribeira grande,38.5167,-28.7,64.78,95,100,21.0,PT,1683407285
16,nar'yan-mar,67.6713,53.087,15.85,96,11,9.15,RU,1683407285
17,pionerskiy,54.9508,20.2275,46.74,52,39,17.38,RU,1683407285
18,alcains,39.9164,-7.4566,57.7,80,0,6.42,PT,1683407286
19,ushuaia,-54.8,-68.3,42.46,70,40,12.66,AR,1683407286
20,usogorsk,63.4106,48.6872,27.16,91,100,11.16,RU,1683407286
21,hithadhoo,-0.6,73.0833,83.17,75,100,18.7,MV,1683407286
22,albany,42.6001,-73.9662,71.58,37,34,9.98,US,1683407286
23,andalgala,-27.5819,-66.3165,57.92,55,79,4.27,AR,1683407287
24,blackmans bay,-43.0167,147.3167,37.72,87,36,6.6,AU,1683407287
25,jayapura,-2.5333,140.7,78.19,89,59,4.18,ID,1683407287
26,seaside,36.6111,-121.8516,66.36,68,75,16.11,US,1683407114
27,funtua,11.5233,7.3081,83.1,39,100,7.54,NG,1683407287
28,tsiombe,-25.3,45.4833,68.09,91,5,3.87,MG,1683407283
29,san ignacio de velasco,-16.3667,-60.95,74.19,86,98,3.89,BO,1683407288
30,bilibino,68.0546,166.4372,25.11,92,100,3.18,RU,1683407167
31,afaahiti,-17.75,-149.2833,84.07,80,69,18.25,PF,1683407288
32,bethel,41.3712,-73.414,72.73,37,0,8.05,US,1683407288
33,west island,-12.1568,96.8225,80.58,94,40,5.75,CC,1683407289
34,vadso,70.0744,29.7487,36.48,80,63,3.44,NO,1683406995
35,zeya,53.75,127.2667,41.7,75,11,1.03,RU,1683407289
36,longyearbyen,78.2186,15.6401,30.04,86,75,2.3,SJ,1683407289
37,grytviken,-54.2811,-36.5092,39.49,80,100,16.4,GS,1683407289
38,tura,25.5198,90.2201,73.04,69,1,5.21,IN,1683407290
39,walvis bay,-22.9575,14.5053,58.08,84,0,12.19,NA,1683407290
40,bredasdorp,-34.5322,20.0403,59.74,86,81,2.84,ZA,1683407290
41,olonkinbyen,70.9221,-8.7187,30.51,95,100,11.83,SJ,1683407290
42,kotlas,61.2611,46.6556,29.73,96,100,12.55,RU,1683407292
43,wynyard,-41.0,145.7167,37.98,68,1,6.8,AU,1683407292
44,hermanus,-34.4187,19.2345,58.8,88,99,7.05,ZA,1683407292
45,labuan,5.2767,115.2417,82.17,79,61,8.68,MY,1683407293
46,qaqortoq,60.7167,-46.0333,37.06,79,81,4.05,GL,1683407293
47,kimbe,-5.5502,150.1429,78.21,87,19,4.05,PG,1683407293
48,papatowai,-46.5619,169.4708,46.62,94,18,5.06,NZ,1683407293
49,lebu,-37.6167,-73.65,55.81,85,35,14.34,CL,1683407294
50,flin flon,54.7682,-101.865,57.83,45,65,11.79,CA,1683407294
51,fortaleza,-3.7227,-38.5247,84.22,78,0,8.05,BR,1683407294
52,ortaca,36.8294,28.7708,57.0,100,40,8.05,TR,1683407295
53,nagqu,31.5,92.0,27.99,67,100,4.94,CN,1683407116
54,jamestown,42.097,-79.2353,65.84,45,0,8.05,US,1683407295
